"Geo Code","Geo Name","Line Number"
"2021A0011L2W","L2W",1258602
"2021A0011L3B","L3B",1260226
"2021A0011L3C","L3C",1261850
"2021A0011L3K","L3K",1263474
"2021A0011L3L","L3L",1265098
"2021A0011L3M","L3M",1266722
"2021A0011L3P","L3P",1268346
"2021A0011L3R","L3R",1269970
"2021A0011L3S","L3S",1271594
"2021A0011L3T","L3T",1273218
"2021A0011L3V","L3V",1274842
"2021A0011L3X","L3X",1276466
"2021A0011L3Y","L3Y",1278090
"2021A0011L3Z","L3Z",1279714
"2021A0011L4A","L4A",1281338
"2021A0011L4B","L4B",1282962
"2021A0011L4C","L4C",1284586
"2021A0011L4E","L4E",1286210
"2021A0011L4G","L4G",1287834
"2021A0011L4H","L4H",1289458
"2021A0011L4J","L4J",1291082
"2021A0011L4K","L4K",1292706
"2021A0011L4L","L4L",1294330
"2021A0011L4M","L4M",1295954
"2021A0011L4N","L4N",1297578
